text,OpenSearchQuery
translate English to OpenSearch query: Get all documents,GET /_search
translate English to OpenSearch query: Get documents from index logs,GET /logs/_search
translate English to OpenSearch query: Count documents in index logs,GET /logs/_count
translate English to OpenSearch query: Search for error messages,"GET /_search { ""query"": { ""match"": { ""message"": ""error"" }}}"
translate English to OpenSearch query: Search for user login events,"GET /_search { ""query"": { ""match"": { ""event"": ""login"" }}}"
translate English to OpenSearch query: Aggregate logs by status,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}}}"
translate English to OpenSearch query: Get documents from index users,GET /users/_search
translate English to OpenSearch query: Find all documents with status failed,"GET /_search { ""query"": { ""match"": { ""status"": ""failed"" }}}"
translate English to OpenSearch query: Count documents with severity high,"GET /_search { ""query"": { ""match"": { ""severity"": ""high"" }}}"
translate English to OpenSearch query: Aggregate by user and count,"GET /_search { ""aggs"": { ""user"": { ""terms"": { ""field"": ""user"" }}}}"
translate English to OpenSearch query: Get the document with id 1,"GET /_search { ""query"": { ""match"": { ""_id"": ""1"" }}}"
translate English to OpenSearch query: Delete document with id 1 from index users,DELETE /users/_doc/1
translate English to OpenSearch query: Update document with id 1 in index users,"POST /users/_update/1 { ""doc"": { ""field"": ""value"" }}"
translate English to OpenSearch query: Get all indexes,GET /_cat/indices
translate English to OpenSearch query: Create a new index called test,PUT /test
translate English to OpenSearch query: Delete index test,DELETE /test
translate English to OpenSearch query: Refresh index users,POST /users/_refresh
translate English to OpenSearch query: Get settings for index users,GET /users/_settings
translate English to OpenSearch query: Update settings for index users,"PUT /users/_settings { ""index"": { ""number_of_replicas"": 2 }}"
translate English to OpenSearch query: Get mappings for index users,GET /users/_mapping
translate English to OpenSearch query: Update mappings for index users,"PUT /users/_mapping { ""properties"": { ""field"": { ""type"": ""text"" }}}"
translate English to OpenSearch query: Get aliases for index users,GET /users/_alias
translate English to OpenSearch query: Add alias test_alias to index users,POST /users/_alias/test_alias
translate English to OpenSearch query: Remove alias test_alias from index users,DELETE /users/_alias/test_alias
translate English to OpenSearch query: Get documents with name John,"GET /_search { ""query"": { ""match"": { ""name"": ""John"" }}}"
translate English to OpenSearch query: Get documents with age greater than 30,"GET /_search { ""query"": { ""range"": { ""age"": { ""gt"": 30 }}}}"
translate English to OpenSearch query: Get documents with age less than 30,"GET /_search { ""query"": { ""range"": { ""age"": { ""lt"": 30 }}}}"
translate English to OpenSearch query: Get documents with age between 20 and 30,"GET /_search { ""query"": { ""range"": { ""age"": { ""gte"": 20, ""lte"": 30 }}}}"
translate English to OpenSearch query: Get documents with status active,"GET /_search { ""query"": { ""match"": { ""status"": ""active"" }}}"
translate English to OpenSearch query: Get documents with status inactive,"GET /_search { ""query"": { ""match"": { ""status"": ""inactive"" }}}"
translate English to OpenSearch query: Get documents with date after 2020-01-01,"GET /_search { ""query"": { ""range"": { ""date"": { ""gt"": ""2020-01-01"" }}}}"
translate English to OpenSearch query: Get documents with date before 2020-01-01,"GET /_search { ""query"": { ""range"": { ""date"": { ""lt"": ""2020-01-01"" }}}}"
translate English to OpenSearch query: Aggregate by age,"GET /_search { ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}}}"
